name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
israel,2021-01-01T00:00:00,10.2,10.2,7.6,83.91,0,0,,,,,7.2,63,1016.6,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T01:00:00,10.2,10.2,7.6,83.94,0,0,,,,,9.7,72,1017.1,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T02:00:00,11.2,11.2,7.2,76.44,0,0,,,,,7.9,60,1016.1,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T03:00:00,11,11,7.4,78,0,0,,,,,9,54,1016.4,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T04:00:00,10.6,10.6,7.4,80.09,0,0,,,,,7.9,57,1016.5,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T05:00:00,10.1,10.1,7.6,83.94,0,0,,,,,7.2,63,1016.6,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T06:00:00,10.1,10.1,7.6,83.93,0,0,,,,,9.7,72,1017.1,0,10,4.4,0,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T07:00:00,9.6,8.4,7.7,87.36,0,0,,,,,9,70,1017.6,0,9.3,19,0.1,0,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T08:00:00,10.7,10.7,8.2,84.55,0,0,,,,,8.6,73,1018.3,0,10,100,0.4,1,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T09:00:00,11.6,11.6,8.6,81.81,0,0,,,,,8.6,84,1018.4,0,10,288,1,3,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T10:00:00,12.7,12.7,8.7,76.57,0,0,,,,,10.4,85,1018,0,10,433,1.6,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T11:00:00,13.6,13.6,8.7,72.18,0,0,,,,,9.7,110,1017.2,0,10,527,1.9,5,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T12:00:00,14.2,14.2,8.6,68.96,0,0,,,,,9.4,107,1016.3,0,10,545,2,5,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T13:00:00,15.2,15.2,8.4,63.8,0,0,,,,,12.9,88,1015.5,0,10,532,1.9,5,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T14:00:00,15.6,15.6,8.6,63.06,0,0,,,,,10.1,105,1015.5,0.1,10,447,1.6,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T15:00:00,15.6,15.6,8.4,62.25,0,0,,,,,8.7,90,1015.5,0.1,10,316,1.1,3,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T16:00:00,15.1,15.1,8.4,64.28,0,0,,,,,9,96,1015.6,0,10,135,0.5,1,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T17:00:00,13.7,13.7,8.4,70.37,0,0,,,,,4.3,82,1016,0,10,19,0.1,0,,Clear,clear-night,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T18:00:00,13.1,13.1,8.2,72.19,0,0,,,,,6.5,72,1016.7,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,40179099999"
israel,2021-01-01T19:00:00,12.7,12.7,7.9,72.63,0,0,,,,,7.9,70,1017.1,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T20:00:00,12.2,12.2,7.7,74.04,0,0,,,,,7.6,62,1017.4,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T21:00:00,12.1,12.1,7.6,74.03,0,0,,,,,7.9,81,1017.4,0,9.3,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T22:00:00,11.7,11.7,7.4,74.99,0,0,,,,,6.8,78,1017.4,0,8.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-01T23:00:00,11.6,11.6,7.2,74.47,0,0,,,,,6.8,82,1017.6,0,8.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T00:00:00,11.7,11.7,7.4,74.98,0,0,,,,,6.8,98,1017.2,0,9,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T01:00:00,11.7,11.7,7.4,74.99,0,0,,,,,6.5,88,1017.8,0,9.7,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T02:00:00,11.6,11.6,7.2,74.45,0,0,,,,,7.9,63,1018.3,0,8.3,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T03:00:00,11.1,11.1,7.1,76.41,0,0,,,,,9,60,1018.1,0,9.7,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T04:00:00,10.7,10.7,6.9,77.41,0,0,,,,,10.8,59,1017.8,0,9.7,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T05:00:00,10.6,10.6,6.6,76.34,0,0,,,,,7.6,54,1017.5,0,9.7,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T06:00:00,10.6,10.6,6.4,75.3,0,0,,,,,6.8,49,1017.7,0,9.7,3.5,0,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T07:00:00,10.2,10.2,6.2,76.29,0,0,,,,,4.3,69,1018.7,0.1,9.3,21,0.1,0,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T08:00:00,11.6,11.6,6.7,71.94,0,0,,,,,6.5,49,1019.5,0.1,10,101,0.4,1,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T09:00:00,12.1,12.1,6.9,70.54,0,0,,,,,5.7,59,1019.4,0.1,10,180,0.6,2,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T10:00:00,14.1,14.1,7.4,64.02,0,0,,,,,7.2,76,1019.1,0.1,10,413,1.5,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T11:00:00,14.6,14.6,7.4,61.97,0,0,,,,,7.2,83,1018.2,0.1,10,430,1.5,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T12:00:00,15.7,15.7,7.7,58.93,0,0,,,,,5.1,89,1017.6,0.1,10,600,2.2,6,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T13:00:00,16.1,16.1,7.9,58.27,0,0,,,,,5.8,67,1016.8,0.1,10,503,1.8,5,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T14:00:00,16.6,16.6,7.7,55.67,0,0,,,,,6.9,78,1016.6,0,10,445,1.6,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T15:00:00,16.6,16.6,7.9,56.43,0,0,,,,,5.4,59,1016.8,0,10,292,1.1,3,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T16:00:00,15.7,15.7,8.1,60.58,0,0,,,,,6.1,18,1017,0,10,119,0.4,1,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG"
israel,2021-01-02T17:00:00,14.7,14.7,7.7,62.87,0,0,,,,,8.3,9,1017.4,0,10,17,0.1,0,,Clear,clear-night,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T18:00:00,14.1,14.1,7.2,63.22,0,0,,,,,5.8,75,1017.8,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T19:00:00,14.1,14.1,6.9,61.95,0,0,,,,,8.6,88,1017.8,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T20:00:00,13.2,13.2,7.1,66.59,0,0,,,,,7.2,76,1018.2,0,9.4,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T21:00:00,13.1,13.1,6.9,66.13,0,0,,,,,7.6,89,1018.3,0,9.4,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T22:00:00,13.1,13.1,6.7,65.22,0,0,,,,,8.6,89,1018.4,0,9.4,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-02T23:00:00,13.1,13.1,6.7,65.22,0,0,,,,,7.5,86,1018.1,0,9.4,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T00:00:00,13,13,11,87.66,0,0,,,,,5.4,67.3,,0,10,0,,0,,Clear,clear-night,"40180099999,LLBG"
israel,2021-01-03T01:00:00,13,13,7.1,67.02,0,0,,,,,7.9,90,1017.7,0.1,9.7,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T02:00:00,13.1,13.1,7.2,67.04,0,0,,,,,7.9,92,1017.6,0.1,9.4,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T03:00:00,13.1,13.1,7.2,67.06,0,0,,,,,9.7,96,1017.6,0.1,9.4,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T04:00:00,12.2,12.2,6.9,70.11,0,0,,,,,8.6,80,1017.7,0.1,9.4,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T05:00:00,12,12,7.2,72.05,0,0,,,,,6.5,92,1017.7,0.1,9.2,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T06:00:00,12,12,7.6,74.04,0,0,,,,,8.3,86,1017.8,0.1,7.3,3.7,0,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T07:00:00,11.6,11.6,7.4,74.99,0,0,,,,,8.6,72,1018.1,0.1,6.1,15,0.1,0,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T08:00:00,12.6,12.6,7.9,72.63,0,0,,,,,8.3,72,1018.6,0.1,3.6,95,0.3,1,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T09:00:00,14,14,8.4,68.63,0,0,,,,,8.3,84,1018.8,0,4,281,1,3,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T10:00:00,15,15,13,87.84,0,0,,,,,3.6,89.7,,0,3,430,1.5,4,,Clear,clear-day,"C0641,40180099999,LLBG"
israel,2021-01-03T11:00:00,15.6,15.6,8.4,62.3,0,0,,,,,8.6,79,1017.3,0.1,5.1,521,1.9,5,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T12:00:00,16.2,16.2,8.2,59.13,0,0,,,,,8.6,77,1016.7,0,6.6,560,2,6,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T13:00:00,17.1,17.1,8.1,55.47,0,0,,,,,9.7,102,1016.2,0,7.6,525,1.9,5,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T14:00:00,18.1,18.1,8.2,52.44,0,0,,,,,7.6,126,1016.1,0,7.6,435,1.6,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T15:00:00,17.7,17.7,8.2,53.78,0,0,,,,,5,109,1016.4,0,7.6,296,1.1,3,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T16:00:00,17.2,17.2,7.9,54.38,0,0,,,,,6.1,71,,0,7,134,0.5,1,,Clear,clear-day,"C0641,40183099999,40180099999,LLBG"
israel,2021-01-03T17:00:00,16.2,16.2,7.7,57.19,0,0,,,,,4.3,42,1017.1,0,6.3,22,0.1,0,,Clear,clear-night,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T18:00:00,15.6,15.6,7.4,58.24,0,0,,,,,5,55,1017.7,0,6.3,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T19:00:00,14.7,14.7,7.4,61.7,0,0,,,,,4.3,59,1017.9,0,6.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-01-03T20:00:00,14.7,14.7,7.2,60.88,0,0,,,,,6.1,77,1018.1,0,5.3,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
